Epoca: 101 | Loss: 0.7066 | Accuracy: 69.39%
Epoca: 102 | Loss: 0.7058 | Accuracy: 69.59%
Epoca: 103 | Loss: 0.7051 | Accuracy: 69.59%
Epoca: 104 | Loss: 0.7044 | Accuracy: 69.80%
Epoca: 105 | Loss: 0.7036 | Accuracy: 69.80%
Epoca: 106 | Loss: 0.7029 | Accuracy: 70.20%
Epoca: 107 | Loss: 0.7022 | Accuracy: 70.61%
Epoca: 108 | Loss: 0.7015 | Accuracy: 71.22%
Epoca: 109 | Loss: 0.7008 | Accuracy: 71.22%
Epoca: 110 | Loss: 0.7001 | Accuracy: 71.22%
Epoca: 111 | Loss: 0.6994 | Accuracy: 71.63%
Epoca: 112 | Loss: 0.6988 | Accuracy: 71.84%
Epoca: 113 | Loss: 0.6981 | Accuracy: 71.84%
Epoca: 114 | Loss: 0.6974 | Accuracy: 72.65%
Epoca: 115 | Loss: 0.6968 | Accuracy: 72.65%
Epoca: 116 | Loss: 0.6961 | Accuracy: 73.27%
Epoca: 117 | Loss: 0.6955 | Accuracy: 73.27%
Epoca: 118 | Loss: 0.6949 | Accuracy: 73.47%
Epoca: 119 | Loss: 0.6942 | Accuracy: 73.27%
Epoca: 120 | Loss: 0.6936 | Accuracy: 73.27%
Epoca: 121 | Loss: 0.6930 | Accuracy: 73.27%
Epoca: 122 | Loss: 0.6924 | Accuracy: 73.27%
Epoca: 123 | Loss: 0.6917 | Accuracy: 73.67%
Epoca: 124 | Loss: 0.6911 | Accuracy: 74.08%
Epoca: 125 | Loss: 0.6905 | Accuracy: 74.29%
Epoca: 126 | Loss: 0.6899 | Accuracy: 74.49%
Epoca: 127 | Loss: 0.6893 | Accuracy: 74.29%
Epoca: 128 | Loss: 0.6887 | Accuracy: 74.49%
Epoca: 129 | Loss: 0.6881 | Accuracy: 74.90%
Epoca: 130 | Loss: 0.6875 | Accuracy: 74.90%
Epoca: 131 | Loss: 0.6869 | Accuracy: 75.31%
Epoca: 132 | Loss: 0.6863 | Accuracy: 75.31%
Epoca: 133 | Loss: 0.6858 | Accuracy: 75.51%
Epoca: 134 | Loss: 0.6852 | Accuracy: 75.71%
Epoca: 135 | Loss: 0.6846 | Accuracy: 75.92%
Epoca: 136 | Loss: 0.6840 | Accuracy: 76.12%
Epoca: 137 | Loss: 0.6834 | Accuracy: 76.73%
Epoca: 138 | Loss: 0.6828 | Accuracy: 77.35%
Epoca: 139 | Loss: 0.6822 | Accuracy: 77.35%
Epoca: 140 | Loss: 0.6817 | Accuracy: 77.14%
Epoca: 141 | Loss: 0.6811 | Accuracy: 76.94%
Epoca: 142 | Loss: 0.6805 | Accuracy: 76.94%
Epoca: 143 | Loss: 0.6799 | Accuracy: 77.35%
