epoch,loss,accuracy
290,0.6703,67.43
291,0.6702,67.43
292,0.6700,67.71
293,0.6698,68.00
294,0.6696,68.00
295,0.6695,68.00
296,0.6693,68.00
297,0.6691,68.29
298,0.6690,68.57
299,0.6688,68.57
300,0.6686,68.57
301,0.6684,68.57
302,0.6683,68.57
303,0.6681,68.86
304,0.6679,68.86
305,0.6677,68.86
306,0.6676,68.86
307,0.6674,69.14
308,0.6672,69.43
309,0.6670,69.71
310,0.6669,69.71
311,0.6667,69.43
312,0.6665,69.71
313,0.6663,69.71
314,0.6661,69.71
315,0.6660,70.00
316,0.6658,70.00
317,0.6656,70.00
318,0.6654,70.00
319,0.6652,70.00
320,0.6651,70.00
321,0.6649,70.00
322,0.6647,70.00
323,0.6645,70.00
324,0.6643,68.86
325,0.6641,68.86
326,0.6639,69.43
327,0.6638,69.43
328,0.6636,69.43
329,0.6634,69.43
330,0.6632,69.14
331,0.6630,68.86
332,0.6628,68.86
333,0.6626,69.14
334,0.6624,69.43
335,0.6622,69.71
336,0.6620,69.71
337,0.6619,69.71
338,0.6617,69.71
339,0.6615,69.71
340,0.6613,69.71
341,0.6611,70.00
342,0.6609,70.00
343,0.6607,70.00
344,0.6605,70.00
345,0.6603,70.00
346,0.6601,70.29
347,0.6599,70.29
348,0.6597,70.29
349,0.6595,70.29
350,0.6592,70.57
351,0.6590,70.57
352,0.6588,70.57
353,0.6586,70.86
354,0.6584,71.14
355,0.6582,71.43
356,0.6580,71.14
357,0.6578,72.00
358,0.6576,72.00
359,0.6573,72.29
360,0.6571,72.29
361,0.6569,72.86
362,0.6567,73.14
363,0.6565,73.14
364,0.6562,73.14
365,0.6560,73.71
366,0.6558,74.00
367,0.6556,74.00
368,0.6553,74.00
369,0.6551,74.00
370,0.6549,74.29
371,0.6546,74.86
372,0.6544,74.86
373,0.6542,75.14
374,0.6539,75.43
375,0.6537,75.43
376,0.6534,75.71
377,0.6532,75.43
378,0.6529,75.43
379,0.6527,75.43
380,0.6524,75.71
381,0.6522,75.71
382,0.6519,75.71
383,0.6517,76.00
384,0.6514,76.00
385,0.6512,76.00
386,0.6509,76.00
387,0.6506,76.00
388,0.6504,76.00
389,0.6501,76.00
390,0.6498,76.29
391,0.6496,76.29
392,0.6493,76.57
393,0.6490,76.86
394,0.6487,77.14
395,0.6485,77.14
396,0.6482,77.14
397,0.6479,77.14
